local_price;dollar_ex;dollar_price
3200;87;368
705;3;235
320;12;267
50;1;50
450;6;75
2100;85;247
100;2;50
1020;46;222
83;3;277
710;30;237
100;3;333
423;1;423
1845;7;264
34000;1204;282
2100;112;188
484;7;691
65;1;65
750;32;234
700;32;219
595;1;595
110;3;367
145;7;207
353;1;353
790;21;376
200;4;50
456;1;456
309;1;309
375;1;375
95;1;95
239;1;239
473;1;473
18500;462;40
1465;6;244
84000;1770;475
20500;504;407
6932;17;408
285;5;57
1409;5;282
22;1;22
3437660401;1;344
375;1;375
35;1;35
34;1;34
326;1;326
151;7;216
7600;188;404
840;44;191
225340;8523;264
38;1;38
159;3;53
35;1;35
3200;78;41
72;2;36
320;11;291
325;1;325
51;1;51
450;5;90
20513;86;239
100;2;50
1180;42;281
863;2;432
29;1;29
750;27;278
100;3;333
441;1;441
1945;6;324
37000;1056;35
35;1;35
2800;109;257
484;6;807
65;1;65
750;28;268
700;29;241
65;1;65
120;3;40
165;7;236
364;1;364
900;18;50
280;4;70
200;4;50
48;1;48
309;1;309
37;1;37
1025;1;1025
249;1;249
473;1;473
20500;506;405
154;6;257
84000;1852;454
20500;509;403
7022;20;351
315;5;63
155;6;258
204;1;204
349245637;1;349
375;1;375
36;1;36
353;1;353
33;1;33
165;7;236
6450;245;263
840;51;165
225340;9160;246
38;1;38
159;3;53
35;1;35
3200;76;421
735;3;245
370;13;285
325;1;325
51;1;51
410;6;683
2600;90;289
100;2;50
1180;44;268
91;3;303
29;1;29
810;31;261
100;3;333
485;1;485
1995;8;249
37000;1158;32
35;1;35
2900;113;257
410;6;683
65;1;65
750;29;259
780;31;252
66;1;66
120;3;40
170;8;212
381;1;381
900;19;474
300;4;75
190;4;475
456;1;456
319;1;319
38;1;38
1008;2;504
269;1;269
512;1;512
20500;493;416
1565;6;261
86000;1804;477
7033;21;335
285;6;475
160;6;267
204;1;204
3583482241;1;358
375;1;375
36;1;36
364;1;364
2683;1;268
165;7;236
8300;238;349
890;56;159
242000;9482;255
349;1;349
119;4;298
36;1;36
3200;78;41
74;3;247
370;13;285
338;1;338
51;1;51
430;6;717
2850;94;303
1180;42;281
91;3;303
495;1;495
750;32;234
100;3;333
44;1;44
1995;8;249
37000;1151;321
35;1;35
2900;131;221
3997301987;6;666
65;1;65
750;30;25
820;31;265
825;1;825
120;3;40
150;8;188
396;1;396
990;21;471
340;4;85
190;4;475
47;1;47
339;1;339
38;1;38
1125;1;1125
269;1;269
541;1;541
20500;471;435
160;6;267
86000;1773;485
22000;500;44
7033;18;391
285;5;57
160;6;267
27;1;27
3594849572;1;359
375;1;375
36;1;36
364;1;364
33;1;33
170;7;243
8300;217;382
890;53;168
279390;9767;286
349;1;349
149;3;497
385;1;385
3200;91;352
795;3;265
370;12;308
345;1;345
52;1;52
430;5;86
2900;97;299
100;2;50
1180;40;295
91;3;303
295;1;295
7288;30;243
110;3;367
45;1;45
209;9;232
37000;1085;341
35;1;35
3500;126;278
4055930138;6;676
65;1;65
750;29;259
870;29;30
845;1;845
120;3;40
190;8;238
403;1;403
1050;19;553
390;4;975
210;5;42
5035;1;504
339;1;339
37;1;37
120;2;60
269;1;269
553;1;553
20000;508;394
160;6;267
86000;1921;448
21500;498;432
7045;20;352
285;5;57
1675;7;239
275;1;275
3623870489;1;362
41;1;41
39;1;39
364;1;364
26;1;26
170;7;243
8600;228;377
900;59;153
279390;9965;28
346;1;346
175;3;583
375;1;375
3200;100;32
73;3;243
370;12;308
345;1;345
55;1;55
460;6;767
3000;100;30
100;2;50
11521;43;268
92;3;307
295;1;295
870;32;272
100;3;333
47;1;47
225;10;225
39000;1135;344
35;1;35
3700;130;285
4161;6;694
65;1;65
790;30;263
890;31;287
85;1;85
120;3;40
190;8;238
418;1;418
1050;21;50
450;6;75
210;6;35
505;1;505
339;1;339
395;1;395
124;2;62
279;1;279
554;1;554
20000;541;37
166;6;277
86000;1982;434
21500;501;429
7045;20;352
285;5;57
1693;6;282
28;1;28
3657962724;1;366
41;1;41
38;1;38
367;1;367
305;1;305
180;7;257
8600;223;386
950;61;156
279390;12140;23
346;1;346
175;3;583
385;1;385
3100;104;298
88;2;44
74;3;247
370;13;285
345;1;345
55;1;55
480;6;80
3200;105;305
100;2;50
1350;45;30
92;3;307
30;1;30
890;33;27
110;3;367
46;1;46
235;10;235
37000;1067;347
365;1;365
3500;130;269
407;6;678
65;1;65
790;30;263
960;32;30
85;2;425
120;3;40
190;8;238
424;1;424
1050;21;50
450;6;75
210;8;262
51;1;51
339;1;339
37;1;37
130;2;65
289;1;289
564;1;564
21000;564;372
169;6;282
86000;1847;466
21500;537;40
7045;20;352
285;5;57
1693;7;242
29;1;29
367923829;1;368
41;1;41
39;1;39
367;1;367
305;1;305
188;7;269
8600;228;377
1050;60;175
279390;11505;243
349;1;349
175;3;583
385;1;385
3700;101;366
895;2;447
763;3;254
420;12;35
345;1;345
57;1;57
480;6;80
3000;98;306
100;2;50
1600;43;372
92;3;307
30;1;30
890;34;262
110;3;367
47;1;47
245;10;245
41000;1023;401
365;1;365
3500;130;269
407;6;678
616;1;616
790;29;272
990;31;319
925;2;462
130;3;433
190;11;173
429;1;429
1130;22;514
750;11;682
600000;21230;283
280;8;35
53;1;53
339;1;339
37;1;37
135;2;675
289;1;289
57;1;57
21000;627;335
172;6;287
79000;2364;334
21500;536;401
7045;24;294
345;6;575
1693;7;242
29;1;29
368;1;368
41;1;41
39;1;39
367;1;367
305;1;305
188;7;269
8600;271;317
11625;61;191
279390;12480;224
349;1;349
175;3;583
385;1;385
3700;117;316
763;3;254
490;14;35
345;1;345
59;1;59
480;7;686
3000;100;30
100;3;333
1630;44;37
92;3;307
30;1;30
890;65;137
110;3;367
47;1;47
255;11;232
41000;1083;379
365;1;365
3500;131;267
407;8;509
65;1;65
790;31;255
990;32;309
925;2;462
130;3;433
190;15;127
429;1;429
1130;24;471
1320;52;254
600000;21380;281
280;9;311
53;1;53
339;1;339
37;1;37
135;3;45
289;1;289
585;1;585
21000;642;327
170;6;283
79000;2708;292
21500;533;403
700;24;292
3459;6;576
1693;7;242
295;1;295
37;1;37
41;1;41
41;1;41
359;1;359
305;1;305
192;7;274
9000;282;319
11625;63;185
305000;13344;229
37;1;37
175;3;583
40;1;40
3700;123;301
765;3;255
490;15;327
345;1;345
59;1;59
460;8;575
3500;101;347
100;3;333
1630;45;362
96;3;32
30;1;30
1070;56;191
120;3;40
47;1;47
260;12;217
43000;1143;376
365;1;365
3500;133;263
437;8;546
65;1;65
790;31;255
1080;34;318
1025;2;512
130;3;433
340;21;162
429;1;429
1130;27;419
1320;197;67
600000;21810;275
330;13;254
53;1;53
35;1;35
395;1;395
135;4;338
289;1;289
584;1;584
21000;715;294
176;6;293
79000;3253;243
21500;535;402
750;25;30
300;6;50
1693;7;242
30;1;30
372;1;372
41;1;41
41;1;41
359;1;359
335;1;335
192;7;274
9000;292;308
1270;66;192
305000;13947;219
395;1;395
169;3;563
40;1;40
3700;118;314
80;4;20
490;17;288
345;1;345
59;1;59
468;8;585
3000;104;288
100;3;333
1310;47;279
96;4;24
30;1;30
1140;74;154
120;3;40
47;1;47
280;15;187
43000;1197;359
35;1;35
3500;144;243
450;8;562
65;1;65
690;33;209
1120;36;311
1025;3;342
130;3;433
360;23;157
429;1;429
1130;30;377
1320;198;67
600000;22467;267
500;14;357
575;1;575
36;1;36
395;1;395
155;3;517
299;1;299
60;1;60
23000;651;353
186;6;31
89000;2929;304
22500;546;412
750;24;312
300;6;50
230;8;288
31;1;31
382;1;382
46;1;46
41;1;41
379;1;379
335;1;335
192;7;274
9000;285;316
1620;67;242
310000;13112;236
40;1;40
169;3;563
42;1;42
3700;106;349
80;4;20
440;18;244
345;1;345
60;1;60
468;8;585
3750;104;361
100;3;333
1330;47;283
96;3;32
305;1;305
1300;63;206
120;3;40
545;1;545
300;14;214
44000;1140;386
35;1;35
5300;146;363
4494;8;562
65;1;65
690;32;216
1190;34;35
1075;3;358
130;3;433
390;24;162
45;1;45
1230;30;41
21700;641;339
600000;22300;269
550;15;367
58;1;58
34;1;34
395;1;395
165;3;55
309;1;309
598;1;598
24500;672;365
196;6;327
99000;2994;331
22500;554;406
750;25;30
300;7;429
2749;18;153
31;1;31
388;1;388
455;1;455
41;1;41
379;1;379
335;1;335
192;7;274
9000;294;306
1700;68;25
310000;13329;233
40;1;40
169;3;563
42;1;42
3800;116;328
80;4;20
490;21;233
361;1;361
60;1;60
490;8;612
3750;104;361
110;3;367
1330;49;271
96;4;24
305;1;305
1300;60;217
120;3;40
56;1;56
2632;13;202
44000;1196;368
395;1;395
5500;150;367
480;9;533
65;1;65
690;31;223
1190;35;34
1075;3;358
130;3;433
420;27;156
45;1;45
1250;28;446
35500;676;525
600000;22572;266
700;16;438
59;1;59
34;1;34
405;1;405
165;3;55
319;1;319
597;1;597
25500;663;385
198;6;33
99000;3052;324
22900;572;40
750;22;341
300;6;50
3137;17;185
315;1;315
391;1;391
456;1;456
41;1;41
39;1;39
335;1;335
192;7;274
8620;268;322
1780;64;278
321260;13369;24
407;1;407
169;3;563
42;1;42
3800;113;336
86;4;215
490;17;288
361;1;361
61;1;61
490;8;612
3750;105;357
105;3;35
1340;50;268
101;3;337
325;1;325
1370;60;228
120;3;40
56;1;56
300;13;231
44000;1144;385
38;1;38
5800;153;379
4897;8;612
65;1;65
690;30;23
1190;34;35
1075;3;358
140;3;467
440;25;176
45;1;45
1300;28;464
109500;2700;406
600000;22732;264
750;18;417
59;1;59
34;1;34
41;1;41
165;3;55
319;1;319
655;1;655
26000;605;43
204;6;34
109000;2844;383
22900;568;403
790;20;395
300;6;50
3421;17;201
315;1;315
395;1;395
456;1;456
42;1;42
39;1;39
335;1;335
205;7;293
8640;252;343
1800;63;286
357500;13359;268
407;1;407
165;3;55
42;1;42
3800;110;345
90;3;30
480;18;267
371;1;371
62;1;62
490;7;70
3750;110;341
105;3;35
1340;50;268
101;3;337
32;1;32
1300;56;232
120;3;40
58;1;58
300;12;25
44000;1069;412
395;1;395
5800;153;379
491;8;614
65;1;65
690;29;238
1190;31;384
1075;3;358
140;3;467
470;28;168
461;1;461
1400;28;50
0;1;0
650000;22711;286
750;27;278
605;1;605
34;1;34
395;1;395
12;1;12
41;1;41
169;3;563
319;1;319
665;1;665
26400;651;406
205;6;342
119000;2874;414
22900;567;404
210;6;35
750;22;341
300;6;50
3137;17;185
315;1;315
404;1;404
462;1;462
42;1;42
412;1;412
335;1;335
250;7;357
850;23;37
200;7;286
8500;276;308
1730;68;254
315000;14360;219
407;1;407
170;3;567
42;1;42
3900;111;351
195;1;195
105;1;105
27;1;27
65000;1511;43
28;1;28
845;4;211
490;19;258
430;16;269
379;1;379
62;1;62
1030;31;332
420;8;525
105;1;105
3750;121;31
105;3;35
1400;53;264
101;3;337
325;1;325
120;3;40
92;3;307
1300;62;21
120;3;40
58;1;58
30;1;30
23;1;23
310;13;238
45000;1116;403
41;1;41
5800;159;365
510;8;638
65;1;65
690;30;23
1190;33;361
1075;4;269
500;26;192
140;3;467
462;1;462
1400;31;452
650000;23039;282
750;37;203
61;1;61
376;1;376
395;1;395
12;1;12
42;1;42
169;3;563
319;1;319
677;1;677
26400;678;389
209;6;348
119000;3191;373
22900;606;378
210;6;35
850;22;386
300;6;50
400;17;235
32;1;32
405;1;405
462;1;462
42;1;42
412;1;412
335;1;335
250;7;357
850;24;354
200;7;286
8500;280;304
1780;69;258
330000;14090;234
407;1;407
170;3;567
42;1;42
3900;108;361
195;1;195
105;1;105
28;1;28
65000;1507;431
285;1;285
905;4;226
490;19;258
400;17;235
40;1;40
62;1;62
1030;32;322
500;8;625
105;1;105
4600;138;333
105;3;35
1400;52;269
105;3;35
325;1;325
120;3;40
93;4;233
11017;66;167
120;3;40
58;1;58
32;1;32
23;1;23
310;13;238
45000;1118;403
395;1;395
5800;182;319
520;8;65
65;1;65
690;30;23
1190;32;372
1075;5;215
540;27;20
140;3;467
471;1;471
1400;32;438
650000;23199;28
1200;41;293
615;1;615
381;1;381
395;1;395
14;1;14
42;1;42
175;3;583
329;1;329
677;1;677
26400;689;383
210;6;35
119000;3227;369
22900;581;394
220;6;367
850;22;386
300;6;50
420;16;262
32;1;32
408;1;408
475;1;475
42;1;42
414;1;414
33;1;33
250;7;357
860;24;358
205;7;293
9000;290;31
1830;68;269
320000;14130;226
43;1;43
170;3;567
43;1;43
3900;108;361
23;1;23
11;1;11
285;1;285
65000;1507;431
285;1;285
885;4;221
500;18;278
430;17;253
406;1;406
64;1;64
1100;33;333
420;8;525
121;1;121
4800;157;306
105;3;35
1420;51;278
108;3;36
325;1;325
130;3;433
93;4;233
1300;63;206
130;3;433
58;1;58
32;1;32
24;1;24
310;14;221
45000;1180;381
395;1;395
6400;175;366
510;9;567
65;1;65
720;31;232
1190;30;397
1399;5;28
570;25;228
1475;3;492
471;1;471
1640;35;469
650000;23231;28
1710;60;285
645;1;645
384;1;384
395;1;395
14;1;14
43;1;43
199;4;497
339;1;339
677;1;677
26400;772;342
215;6;358
119000;3287;362
23500;569;413
220;6;367
850;22;386
300;6;50
420;15;28
32;1;32
412;1;412
483;1;483
42;1;42
414;1;414
33;1;33
250;7;357
870;24;362
205;7;293
9000;298;302
1880;70;269
330000;13670;241
42;1;42
170;3;567
43;1;43
3900;110;355
23;1;23
11;1;11
285;1;285
65000;1514;429
285;1;285
95;4;238
500;18;278
450;17;265
409;1;409
65;1;65
1200;33;364
530;8;662
1155;1;116
5200;154;338
119;3;397
1420;50;284
110;3;367
325;1;325
130;3;433
95;4;238
1350;61;221
130;3;433
59;1;59
34;1;34
24;1;24
310;14;221
45000;1156;389
42;1;42
5800;181;32
515;9;572
65;1;65
720;29;248
1150;30;383
1299;5;26
570;23;248
1475;3;492
482;1;482
1790;37;484
660000;23176;285
2500;71;352
655;1;655
386;1;386
395;1;395
14;1;14
435;1;435
209;5;418
339;1;339
688;1;688
27400;787;348
217;7;31
119000;3617;329
23500;581;404
220;6;367
890;23;387
300;6;50
420;15;28
32;1;32
421;1;421
488;1;488
42;1;42
445;1;445
33;1;33
250;7;357
870;24;362
205;7;293
9000;311;289
1900;75;253
340000;14435;236
43;1;43
170;3;567
43;1;43
3900;107;364
23;1;23
115;1;115
285;1;285
90000;1512;595
285;1;285
999;4;25
500;22;227
470;17;276
409;1;409
66;1;66
1200;34;353
520;9;578
11;1;11
5500;166;331
119;3;397
1420;49;29
110;3;367
345;1;345
130;3;433
99;4;248
1350;70;193
140;3;467
59;1;59
36;1;36
25;1;25
310;16;194
45000;1200;375
41;1;41
6800;185;368
526;9;584
65;1;65
720;29;248
1280;31;413
1399;6;233
590;27;219
1475;3;492
482;1;482
1890;43;44
660000;23180;285
3200;85;376
648;1;648
388;1;388
395;1;395
15;1;15
435;1;435
219;5;438
329;1;329
677;1;677
29400;719;409
224;6;373
129500;3460;374
23500;613;383
230;6;383
890;21;424
300;6;50
425;15;283
32;1;32
425;1;425
487;1;487
42;1;42
446;1;446
33;1;33
250;7;357
870;24;362
205;7;293
9000;297;303
1900;73;26
340000;14125;241
44;1;44
170;3;567
43;1;43
3900;104;375
23;1;23
115;1;115
285;1;285
155000;8750;177
29;1;29
999;4;25
540;20;27
500;17;294
413;1;413
68;1;68
1240;34;365
520;8;65
11;1;11
5500;160;344
119;3;397
1420;48;296
1308;3;436
345;1;345
